"PERMAID","DAYID","USECROSSWALK","USEROAD","NS","EW"
"1861","77","0","0","1","1"
"1862","78","1","1","0","0"
"1863","1","1","1","0","1"
"1864","2","0","0","0","1"
"1865","3","0","0","0","1"
"1866","4","0","0","1","1"
"1867","5","0","0","1","1"
"1868","6","0","0","0","1"
"1869","7","0","0","0","1"
"1870","8","0","0","0","1"
"1871","9","0","1","0","1"
"1872","10","0","0","0","0"
"1873","11","0","0","0","0"
"1874","12","0","0","1","1"
"1875","13","0","0","1","1"
"1876","14","0","0","0","1"
"1877","15","0","0","0","1"
"1878","16","0","0","0","0"
"1879","17","0","0","0","1"
"1880","18","0","0","0","0"
"1881","19","0","0","1","1"
"1882","20","0","0","0","1"
"1884","22","0","0","0","0"
"1885","23","0","0","0","1"
"1886","24","0","0","1","1"
"1887","25","0","0","1","1"
"1888","26","0","0","0","1"
"1889","27","0","0","1","1"
"1890","28","0","1","0","1"
"1891","29","0","1","1","0"
"1892","30","0","0","0","1"
"1893","31","0","0","0","1"
"1894","32","0","0","0","1"
"1895","33","0","1","0","1"
"1896","34","0","1","1","1"
"1897","35","1","1","0","1"
"1898","36","0","0","0","1"
"1899","37","1","1","0","1"
"1900","38","1","1","0","1"
"1901","39","1","1","0","1"
"1902","40","0","0","1","0"
"1903","41","0","0","0","1"
"1904","42","0","0","0","1"
"1905","43","0","1","1","0"
"1906","44","0","0","0","1"
"1907","45","0","0","0","1"
"1908","46","0","0","0","1"
"1909","47","0","0","0","1"
"1910","48","0","0","1","1"
"1911","49","0","0","1","0"
"1912","50","0","0","1","0"
"1913","51","0","0","1","0"
"1914","52","0","0","0","0"
"1915","53","0","0","0","0"
"1916","54","0","0","0","1"
"1917","55","0","0","1","0"
"1918","56","0","0","1","1"
"1919","57","0","0","0","1"
"1920","58","0","0","0","1"
"1921","59","0","0","1","1"
"1922","60","0","1","0","0"
"1923","61","1","1","1","0"
"1924","62","0","1","1","1"
"1925","63","0","0","1","0"
"1926","64","0","0","1","0"
"1927","65","0","0","1","1"
"1928","66","0","0","0","0"
"1929","67","0","0","0","0"
"1930","68","0","0","1","1"
"1931","69","0","0","1","1"
"1932","70","0","0","1","0"
"1933","71","0","0","1","1"
"1934","72","0","0","0","1"
"1935","73","0","0","0","1"
"1936","74","0","0","1","0"
"1937","75","0","0","0","1"
"1938","76","0","0","0","0"
"1939","77","0","0","1","0"
"1940","78","0","0","1","1"
"1941","79","0","0","0","0"
"1942","80","0","0","1","1"
"1943","81","0","0","0","1"
"1944","82","0","0","1","0"
"1945","83","0","0","0","0"
"1946","84","0","1","1","0"
"1947","85","1","1","0","0"
"1948","86","0","0","0","0"
"1949","87","0","0","1","0"
"1950","88","0","0","0","0"
"1951","89","0","1","1","0"
"1952","90","0","0","1","0"
"1953","91","0","0","1","1"
"1954","92","0","0","1","0"
"1955","93","0","0","1","0"
"1956","94","0","0","1","0"
"1957","95","0","0","1","0"
"1958","96","0","0","0","1"
"1959","97","1","1","0","0"
"1960","98","0","0","1","0"
"1961","99","0","0","0","0"
"1962","100","0","0","1","0"
"1963","101","0","0","0","1"
"1964","102","0","0","0","1"
"1965","103","0","0","0","0"
"1966","104","0","0","1","0"
"1967","105","0","0","1","1"
"1968","106","0","0","0","0"
"1969","107","0","1","1","0"
"1970","108","0","1","0","0"
"1971","109","0","0","0","1"
"1972","110","0","0","0","1"
"1973","111","0","0","0","0"
"1974","112","1","1","1","0"
"1975","113","0","0","1","1"
"1976","114","0","0","1","0"
"1977","115","0","0","0","0"
"1978","116","1","1","1","0"
"1979","117","0","0","0","0"
"1980","118","0","0","0","1"
"1981","119","0","0","0","0"
"1982","120","0","0","1","1"
"1983","121","0","0","1","1"
"1984","122","0","0","1","1"
"1985","123","0","0","0","1"
"1986","124","0","0","0","1"
"1987","125","0","0","1","1"
"1988","126","0","0","1","1"
"1989","127","0","0","1","1"
"1990","128","0","0","1","0"
"1991","129","0","0","0","0"
"1992","130","0","0","0","0"
"1993","131","0","0","1","1"
"1994","132","0","0","0","1"
"1995","133","0","0","0","1"
"1996","134","0","0","0","0"
"1997","135","0","0","1","1"
"1998","136","0","0","1","1"
"1999","137","0","0","0","1"
"2000","138","0","0","0","0"
"2001","139","0","0","1","0"
"2002","140","0","0","1","1"
"2003","141","0","0","1","1"
"2004","142","0","0","1","0"
"2005","143","1","1","0","0"
"2007","145","0","0","0","1"
"2008","146","0","0","1","1"
"2009","147","0","0","1","0"
"2010","148","0","0","0","1"
"2011","149","0","0","0","0"
"2012","150","0","0","0","0"
"2013","151","0","0","1","0"
"2014","152","0","0","1","0"
"2015","153","0","0","0","0"
"2016","154","0","0","0","1"
"2017","155","0","0","1","1"
"2018","156","0","0","0","0"
"2019","157","0","0","1","0"
"2020","158","0","0","0","0"
"2021","159","0","0","0","0"
"2022","160","0","0","1","1"
"2023","161","0","0","1","0"
"2024","162","0","0","1","0"
"2025","163","0","0","1","0"
"2026","164","0","0","0","1"
"2027","165","0","0","0","0"
"2028","166","0","0","0","1"
"2029","167","0","0","0","1"
"2030","168","0","0","0","1"
"2031","169","0","0","0","1"
"2032","170","0","0","0","1"
"2033","171","0","0","1","0"
"2034","172","0","0","0","0"
"2035","173","0","0","1","0"
"2036","174","0","0","1","1"
"2037","175","0","0","1","1"
"2038","176","0","0","1","1"
"2039","177","0","0","0","1"
"2040","178","0","0","0","0"
"2041","179","0","0","1","1"
"2042","180","0","0","1","1"
"2043","181","0","0","1","0"
"2044","182","0","0","1","1"
"2045","183","0","1","1","0"
"2046","184","0","0","0","1"
"2047","1","0","0","1","1"
"2048","2","0","0","1","1"
"2049","3","0","0","0","1"
"2051","5","0","0","0","1"
"2052","6","0","0","0","1"
"2053","7","0","0","0","1"
"2054","8","0","0","0","0"
"2055","9","0","0","0","0"
"2056","10","0","0","0","0"
"2057","11","0","0","1","1"
"2058","12","0","1","0","1"
"2059","13","0","0","1","0"
"2060","14","0","0","0","1"
"2061","15","0","0","0","0"
"2062","16","0","0","0","1"
"2063","17","0","0","1","1"
"2064","18","0","0","1","0"
"2065","19","0","0","1","0"
"2066","20","0","0","1","0"
"2067","21","0","0","0","1"
"2068","22","0","0","1","1"
"2069","23","0","0","0","1"
"2070","24","0","0","0","1"
"2071","25","0","0","1","1"
"2072","26","0","1","0","1"
"2073","27","0","1","0","1"
"2074","28","0","0","1","1"
"2075","29","0","0","0","1"
"2076","30","0","0","0","0"
"2077","31","0","0","0","1"
"2078","32","0","0","1","1"
"2079","33","0","0","0","1"
"2080","34","0","0","0","0"
"2081","35","0","0","1","1"
"2082","36","0","0","1","0"
"2083","37","1","1","0","1"
"2084","38","1","1","0","1"
"2085","39","0","0","0","0"
"2086","40","1","1","1","1"
"2087","41","1","1","0","1"
"2088","42","0","1","0","1"
"2089","43","0","0","0","1"
"2090","44","0","0","0","1"
"2091","45","0","0","1","1"
"2092","46","0","0","1","1"
"2093","47","0","0","1","1"
"2094","48","0","0","0","0"
"2095","49","0","0","0","1"
"2096","50","0","0","0","0"
"2097","51","1","1","0","0"
"2098","52","0","1","1","0"
"2099","53","0","0","1","0"
"2100","54","0","0","1","0"
"2101","55","0","0","0","1"
"2102","56","0","1","1","1"
"2103","57","0","0","1","1"
"2104","58","0","0","0","0"
"2105","59","0","0","0","0"
"2106","60","1","1","1","1"
"2107","61","0","1","1","1"
"2108","62","0","0","1","1"
"2109","63","0","0","1","0"
"2110","64","0","0","1","1"
"2111","65","0","1","0","1"
"2112","66","1","1","1","0"
"2113","67","0","0","0","0"
"2114","68","0","0","0","1"
"2115","69","0","0","0","1"
"2116","70","0","1","1","0"
"2117","71","0","0","1","0"
"2118","72","0","0","1","0"
"2119","73","0","0","1","1"
"2120","74","0","0","0","0"
"2121","75","0","0","0","0"
"2122","76","0","0","0","0"
"2123","77","0","1","0","1"
"2124","78","0","1","1","1"
"2125","79","0","0","1","0"
"2126","80","0","0","1","1"
"2127","81","0","0","0","0"
"2128","82","0","1","0","1"
"2129","83","0","0","0","0"
"2130","84","0","0","1","0"
"2131","85","0","0","1","1"
"2132","86","0","0","0","0"
"2133","87","0","0","0","1"
"2134","88","0","0","0","0"
"2135","89","0","1","1","0"
"2136","90","1","1","1","0"
"2137","91","0","0","1","1"
"2138","92","0","1","1","0"
"2139","93","0","0","1","1"
"2140","94","0","0","1","0"
"2141","95","0","0","0","0"
"2142","96","1","1","1","0"
"2143","97","0","0","1","0"
"2144","98","0","0","1","0"
"2145","99","0","0","1","0"
"2146","100","0","0","1","0"
"2147","101","0","0","1","0"
"2148","102","1","1","0","0"
"2149","103","0","1","1","0"
"2150","104","0","0","1","1"
"2151","105","0","0","0","0"
"2152","106","0","0","1","0"
"2153","107","0","0","1","0"
"2154","108","1","1","1","1"
"2155","109","1","1","0","0"
"2156","110","0","0","0","0"
"2157","111","0","0","0","0"
"2158","112","0","0","0","0"
"2159","113","0","0","0","0"
"2160","114","0","0","0","0"
"2161","115","0","0","0","1"
"2162","116","0","0","0","0"
"2163","117","0","0","0","1"
"2164","118","0","0","0","1"
"2165","119","0","0","1","0"
"2166","120","0","0","1","1"
"2167","121","0","1","1","0"
"2168","122","0","1","1","1"
"2169","123","0","0","1","0"
"2170","124","0","0","0","0"
"2171","125","0","1","0","0"
"2172","126","0","0","1","0"
"2173","127","0","0","1","0"
"2174","128","0","0","0","1"
"2175","129","1","1","0","0"
"2176","130","0","0","1","0"
"2177","131","0","1","0","0"
"2178","132","0","0","1","1"
"2179","133","0","1","0","0"
"2180","134","0","0","0","0"
"2181","135","0","0","1","1"
"2182","136","0","0","0","1"
"2183","137","0","0","0","1"
"2184","138","0","1","0","0"
"2185","139","0","1","1","0"
"2186","140","0","0","1","1"
"2187","141","0","0","1","0"
"2188","142","0","0","1","0"
"2190","144","0","0","1","1"
"2191","145","0","1","0","1"
"2192","146","1","1","0","1"
"2193","147","1","1","1","0"
"2194","148","0","1","0","1"
"2195","149","0","0","1","1"
"2196","150","0","1","1","1"
"2197","151","0","0","0","1"
"2198","152","0","1","0","1"
"2199","153","0","0","1","0"
"2201","155","0","1","0","1"
"2202","156","0","0","1","0"
"2203","157","0","0","0","1"
"2204","158","0","0","0","0"
"2205","159","1","1","0","0"
"2206","160","0","0","0","0"
"2207","161","0","1","0","0"
"2208","162","1","1","1","0"
"2209","163","0","0","0","0"
"2210","164","0","0","0","0"
"2211","165","0","0","0","1"
"2212","166","0","1","0","1"
"2213","167","0","1","0","1"
"2214","168","0","0","0","0"
"2215","169","0","0","1","1"
"2216","170","0","0","1","0"
"2217","171","0","0","0","0"
"2218","172","0","0","1","0"
"2219","173","0","1","0","1"
"2220","174","0","0","1","1"
"2221","175","0","0","1","1"
"2222","176","1","1","0","0"
"2223","177","0","0","0","0"
"2224","178","0","0","0","0"
"2225","179","0","0","1","1"
"2226","180","0","0","1","0"
"2227","181","0","0","1","1"
"2228","182","0","1","0","1"
"2229","183","0","0","0","1"
"2230","184","0","0","1","1"
"2231","185","1","1","1","0"
"2232","186","0","0","1","1"
"2233","187","0","0","0","0"
"2234","188","0","0","0","1"
"2236","2","0","0","0","0"
"2237","3","0","0","0","1"
"2238","4","0","0","0","1"
"2239","5","0","0","0","1"
"2240","6","0","0","0","0"
"2241","7","0","0","0","0"
"2242","8","0","0","0","0"
"2243","9","1","1","1","0"
"2244","10","0","0","1","0"
"2245","11","0","0","1","0"
"2246","12","0","1","0","1"
"2247","13","0","0","1","0"
"2248","14","0","1","0","1"
"2249","15","0","0","0","1"
"2250","16","0","0","0","0"
"2251","17","0","0","0","0"
"2252","18","0","0","1","1"
"2253","19","0","0","0","1"
"2254","20","0","0","1","1"
"2255","21","0","0","0","1"
"2256","22","0","0","0","1"
"2257","23","0","0","1","0"
"2258","24","0","0","1","1"
"2259","25","0","0","0","1"
"2260","26","0","0","0","1"
"2261","27","0","0","1","0"
"2262","28","0","1","1","1"
"2263","29","1","1","1","0"
"2264","30","0","0","0","1"
"2265","31","0","0","0","0"
"2266","32","1","1","0","1"
"2267","33","0","1","0","1"
"2268","34","0","0","1","1"
"2269","35","0","0","0","1"
"2270","36","0","0","1","0"
"2271","37","0","0","0","1"
"2272","38","0","0","0","1"
"2273","39","0","0","1","0"
"2274","40","0","0","1","0"
"2275","41","0","0","0","0"
"2276","42","1","1","1","1"
"2277","43","0","1","0","1"
"2278","44","0","0","0","1"
"2279","45","0","0","0","1"
"2280","46","1","1","0","1"
"2281","47","1","1","0","1"
"2282","48","0","0","0","1"
"2283","49","0","0","0","1"
"2284","50","0","1","0","1"
"2285","51","0","0","0","0"
"2286","52","1","1","0","1"
"2287","53","0","0","1","1"
"2288","54","0","0","0","1"
"2289","55","0","0","1","1"
"2290","56","1","1","0","1"
"2291","57","0","0","0","1"
"2292","58","0","1","0","1"
"2293","59","1","1","0","1"
"2294","60","0","1","0","1"
"2295","61","1","1","1","1"
"2296","62","0","0","1","1"
"2297","63","0","0","0","0"
"2298","64","0","0","0","0"
"2299","65","0","1","0","1"
"2300","66","0","1","0","1"
"2301","67","0","0","0","0"
"2302","68","0","0","1","1"
"2303","69","0","0","0","0"
"2304","70","0","0","0","1"
"2305","71","0","0","1","0"
"2306","72","0","0","1","0"
"2307","73","0","0","1","0"
"2308","74","0","0","1","0"
"2309","75","0","0","0","0"
"2310","76","0","0","0","0"
"2311","77","0","0","0","1"
"2312","78","1","1","1","1"
"2313","79","0","1","1","1"
"2314","80","0","0","1","1"
"2315","81","0","0","1","0"
"2316","82","0","0","1","0"
"2317","83","0","1","1","0"
"2318","84","0","0","1","0"
"2319","85","0","0","1","0"
"2320","86","1","1","1","0"
"2321","87","0","0","1","1"
"2322","88","0","0","0","1"
"2324","90","0","0","1","0"
"2325","91","0","0","0","1"
"2326","92","0","0","1","1"
"2327","93","0","0","0","1"
"2328","94","0","0","1","0"
"2329","95","0","0","1","0"
"2330","96","0","0","1","0"
"2331","97","0","0","1","0"
"2332","98","0","0","1","0"
"2333","99","0","0","1","0"
"2334","100","0","0","1","0"
"2335","101","0","0","1","0"
"2336","102","1","1","1","0"
"2337","103","0","1","1","0"
"2338","104","0","0","1","0"
"2339","105","0","0","1","0"
"2340","106","1","1","1","0"
"2341","107","0","0","1","0"
"2342","108","1","1","1","0"
"2343","109","0","0","1","0"
"2344","110","0","1","0","0"
"2345","111","0","1","1","0"
"2347","113","0","0","1","0"
"2349","115","0","0","1","1"
"2350","116","0","0","1","1"
"2351","117","0","0","1","0"
"2352","118","0","0","0","1"
"2353","119","0","0","0","0"
"2354","120","0","0","0","0"
"2355","121","0","1","1","0"
"2356","122","0","0","1","0"
"2357","123","0","0","0","1"
"2358","124","0","1","0","1"
"2359","125","0","0","1","0"
"2360","126","0","0","1","1"
"2361","127","1","1","0","1"
"2362","128","1","1","0","0"
"2363","129","0","1","0","1"
"2364","130","0","0","0","1"
"2365","131","1","1","1","0"
"2366","132","0","0","0","0"
"2367","133","0","0","0","1"
"2368","134","0","0","1","1"
"2369","135","0","1","1","1"
"2370","136","1","1","0","0"
"2371","137","0","0","1","0"
"2373","139","0","0","0","0"
"2374","140","0","0","1","0"
"2376","142","0","0","1","0"
"2377","143","0","0","1","1"
"2378","144","0","0","1","0"
"2379","145","0","0","0","1"
"2380","146","0","0","1","0"
"2381","147","1","1","0","1"
"2382","148","0","0","1","0"
"2383","149","0","0","1","1"
"2384","150","0","1","1","0"
"2385","151","0","0","0","0"
"2386","152","1","1","0","0"
"2387","153","0","1","0","0"
"2388","154","0","1","0","0"
"2389","155","0","0","0","1"
"2390","156","0","0","0","1"
"2391","157","0","0","0","1"
"2392","158","0","0","1","0"
"2393","159","0","0","1","0"
"2394","160","0","0","1","0"
"2395","161","0","1","1","0"
"2396","162","0","0","0","1"
"2397","163","1","1","0","0"
"2398","164","0","0","1","0"
"2399","165","0","0","0","0"
"2400","166","0","0","1","0"
"2401","167","0","0","1","1"
"2402","168","0","1","0","1"
"2403","169","0","0","1","1"
"2404","170","0","0","0","1"
"2405","171","0","1","1","0"
"2406","172","0","0","0","1"
"2407","173","1","1","0","1"
"2408","174","0","0","0","0"
"2409","175","0","1","0","1"
"2410","176","0","0","0","0"
"2411","177","0","0","0","0"
"2412","178","0","0","1","0"
"2414","180","0","0","1","0"
"2415","181","0","0","1","0"
"2416","182","0","0","1","0"
"2417","183","0","0","0","0"
"2418","184","0","0","0","1"
"2419","185","1","1","0","0"
"2420","186","0","0","1","0"
"2421","187","0","0","1","0"
"2422","188","0","0","1","0"
"2423","189","1","1","0","0"
"2424","190","0","0","1","0"
"2425","191","0","0","1","0"
"2426","192","1","1","0","1"
"2427","193","0","0","1","0"
"2428","194","0","1","0","0"
"2429","195","0","0","0","0"
"2430","196","0","1","0","1"
"2431","197","1","1","0","1"
"2432","198","0","0","0","0"
"2433","199","0","1","1","1"
"2434","200","1","1","1","0"
"2435","201","0","0","1","0"
"2436","202","0","0","1","0"
"2437","203","0","1","1","1"
"2438","204","0","0","0","0"
"2439","205","0","0","0","1"
"2440","206","0","1","1","1"
"2441","207","1","1","1","0"
"2442","208","0","0","0","0"
"2443","209","0","1","1","1"
"2444","210","0","1","1","0"
"2445","211","0","0","0","1"
"2446","1","0","1","0","1"
"2447","2","0","0","1","1"
"2448","3","1","1","0","0"
"2449","4","0","1","1","1"
"2450","5","0","0","0","0"
"2451","6","0","1","1","1"
"2452","7","0","0","1","1"
"2453","8","0","0","1","0"
"2454","9","0","1","1","0"
"2455","10","0","0","0","0"
"2456","11","0","0","1","0"
"2457","12","0","0","1","0"
"2458","13","0","0","1","0"
"2459","14","0","0","1","0"
"2460","15","0","0","1","0"
"2461","16","0","0","0","1"
"2462","17","0","0","0","0"
"2463","18","0","0","0","0"
"2464","19","0","0","0","0"
"2465","20","0","0","1","1"
"2466","21","0","0","0","0"
"2467","22","0","1","0","1"
"2468","23","0","1","1","1"
"2469","24","1","1","0","0"
"2470","25","0","0","1","1"
"2471","26","0","1","1","1"
"2472","27","0","0","1","1"
"2473","28","0","0","0","0"
"2474","29","0","0","0","1"
"2475","30","0","0","1","1"
"2476","31","0","0","1","0"
"2477","32","0","0","0","1"
"2478","33","0","0","0","1"
"2479","34","0","1","0","0"
"2480","35","0","0","0","0"
"2481","36","0","0","0","0"
"2482","37","0","0","0","1"
"2483","38","0","0","0","1"
"2484","39","0","0","1","1"
"2485","40","0","0","1","1"
"2486","41","0","0","0","1"
"2487","42","0","0","1","1"
"2488","43","0","1","1","0"
"2489","44","0","0","0","1"
"2490","45","0","0","0","1"
"2491","46","0","0","0","0"
"2492","47","0","1","1","0"
"2493","48","0","1","1","1"
"2494","49","0","0","1","0"
"2495","50","0","0","0","0"
"2496","51","0","0","0","0"
"2497","52","0","0","0","0"
"2498","53","0","0","0","1"
"2499","54","0","0","1","1"
"2500","55","0","0","1","1"
"2501","56","0","0","0","0"
"2502","57","0","0","0","0"
"2503","58","0","0","0","1"
"2504","59","0","0","0","1"
"2505","60","0","0","0","1"
"2506","61","0","0","0","1"
"2507","62","0","0","1","0"
"2508","63","0","0","1","1"
"2509","64","0","0","0","0"
"2510","65","0","0","0","1"
"2511","66","0","0","1","0"
"2512","67","0","0","0","0"
"2513","68","0","0","1","0"
"2514","69","0","0","1","0"
"2515","70","0","0","1","0"
"2516","71","0","0","1","0"
"2517","72","0","0","1","0"
"2518","73","0","0","1","0"
"2519","74","0","0","1","0"
"2520","75","0","0","0","0"
"2521","76","0","0","1","0"
"2522","77","1","1","0","0"
"2523","78","1","1","1","1"
"2524","79","0","0","0","0"
"2525","80","0","0","0","1"
"2526","81","0","1","1","1"
"2527","82","0","0","1","0"
"2530","85","0","0","0","1"
"2531","86","0","0","0","1"
"2532","87","0","0","0","0"
"2533","88","0","0","0","1"
"2534","89","1","1","0","1"
"2535","90","1","1","0","1"
"2536","91","1","1","0","1"
"2537","92","1","1","0","1"
"2538","93","0","0","0","0"
"2539","94","0","0","0","1"
"2540","95","0","0","0","0"
"2541","96","0","0","1","1"
"2542","97","0","0","0","0"
"2543","98","0","0","0","1"
"2544","99","0","0","1","0"
"2545","100","0","0","1","0"
"2546","101","0","0","1","1"
"2547","102","1","1","1","0"
"2548","103","1","1","1","0"
"2549","104","0","0","0","0"
"2550","105","0","0","1","0"
"2551","106","0","0","0","0"
"2552","107","0","0","1","0"
"2553","108","0","0","1","0"
"2554","109","0","0","0","0"
"2555","110","0","0","1","0"
"2556","111","0","0","0","1"
"2557","112","0","0","1","0"
"2558","113","0","0","0","0"
"2559","114","0","0","1","0"
"2560","115","0","0","1","1"
"2561","116","0","0","1","1"
"2562","117","0","0","1","0"
"2563","118","0","1","0","1"
"2564","119","0","0","1","1"
"2565","120","0","1","1","1"
"2566","121","0","0","0","0"
"2567","122","0","0","1","1"
"2568","123","0","0","1","1"
"2569","124","0","0","1","0"
"2570","125","0","1","1","0"
"2571","126","0","0","0","0"
"2572","127","0","1","1","0"
"2573","128","0","0","0","1"
"2574","129","0","0","0","0"
"2575","130","0","0","1","1"
"2576","131","0","0","1","1"
"2577","132","0","1","0","0"
"2578","133","0","0","1","1"
"2579","134","0","0","0","0"
"2580","135","0","0","1","0"
"2581","136","0","0","0","0"
"2582","137","0","0","0","0"
"2583","138","1","1","0","1"
"2584","139","0","0","1","1"
"2585","1","0","0","0","1"
"2586","2","0","0","0","0"
"2587","3","0","1","0","1"
"2588","4","1","1","1","1"
"2589","5","1","1","1","1"
"2590","6","0","0","0","1"
"2591","7","0","0","0","1"
"2592","8","0","0","1","0"
"2593","9","0","0","1","1"
"2594","10","0","0","1","0"
"2595","11","1","1","1","1"
"2596","12","0","0","1","0"
"2597","13","0","0","1","0"
"2598","14","0","0","0","1"
"2599","15","0","0","0","1"
"2600","16","0","0","1","0"
"2601","17","0","0","1","0"
"2602","18","0","0","1","0"
"2603","19","0","0","1","0"
"2604","20","0","0","1","1"
"2605","21","0","0","0","1"
"2606","22","0","0","1","0"
"2607","23","0","0","1","1"
"2608","24","0","0","1","0"
"2609","25","0","0","0","0"
"2610","26","0","0","1","1"
"2611","27","0","0","0","0"
"2612","28","0","0","0","0"
"2613","29","0","0","0","0"
"2614","30","1","1","1","1"
"2615","31","0","0","0","0"
"2616","32","0","0","0","1"
"2617","33","0","0","1","0"
"2618","34","0","0","0","0"
"2619","35","0","0","0","1"
"2620","36","1","1","0","0"
"2621","37","0","0","0","0"
"2622","38","0","0","1","0"
"2623","39","0","0","0","0"
"2624","40","0","0","1","1"
"2625","41","0","0","0","1"
"2626","42","0","1","1","1"
"2627","43","0","1","0","1"
"2628","44","1","1","0","1"
"2629","45","0","1","0","0"
"2630","46","1","1","0","0"
"2631","47","0","0","0","1"
"2632","48","1","1","0","0"
"2633","49","0","0","1","1"
"2634","50","0","1","1","1"
"2635","51","0","1","1","1"
"2636","52","0","1","1","1"
"2637","53","0","0","1","0"
"2638","54","0","0","1","0"
"2639","55","0","0","1","1"
"2640","56","1","1","1","1"
"2641","57","0","1","0","0"
"2642","1","0","0","1","0"
"2644","3","0","0","1","1"
"2645","4","0","0","0","0"
"2646","5","0","0","1","0"
"2647","6","0","0","1","1"
"2648","7","0","0","1","1"
"2649","8","0","0","0","0"
"2650","9","0","0","0","0"
"2651","10","1","1","0","1"
"2652","11","0","0","0","1"
"2653","12","0","0","0","1"
"2654","13","1","1","0","1"
"2655","14","0","0","0","1"
"2656","15","0","0","0","1"
"2657","16","0","1","1","0"
"2658","17","0","0","1","0"
"2659","18","0","0","0","0"
"2660","19","0","0","0","1"
"2661","20","0","0","0","1"
"2662","21","0","1","1","0"
"2663","22","0","0","0","1"
"2664","23","0","0","0","0"
"2665","24","0","0","0","0"
"2666","25","0","0","0","1"
"2667","26","0","0","0","1"
"2668","27","0","0","0","1"
"2669","28","0","0","0","1"
"2670","29","0","0","0","1"
"2671","30","0","0","1","0"
"2672","31","0","1","0","1"
"2673","32","1","1","0","0"
"2674","33","0","0","0","1"
"2675","34","0","0","0","1"
"2676","35","0","0","1","1"
"2677","36","0","0","1","0"
"2678","37","0","0","1","1"
"2679","38","0","0","0","1"
"2680","39","0","0","0","1"
"2681","40","0","0","0","0"
"2682","41","0","0","1","1"
"2683","42","0","0","1","1"
"2684","43","0","0","0","0"
"2685","44","0","0","0","0"
"2686","45","0","0","0","0"
"2687","46","0","0","1","1"
"2688","47","0","0","1","1"
"2689","48","0","0","0","0"
"2690","49","0","0","1","1"
"2691","50","0","0","1","1"
"2692","51","0","0","0","0"
"2693","52","0","1","1","1"
"2694","53","0","0","0","0"
"2695","54","0","0","1","1"
"2696","55","0","0","1","0"
"2697","56","0","0","0","0"
"2698","57","0","0","1","1"
"2699","1","0","0","1","0"
"2700","2","0","0","0","1"
"2701","3","0","0","1","0"
"2702","4","0","0","1","0"
"2703","5","0","0","1","1"
"2704","6","0","0","0","1"
"2705","7","0","0","1","1"
"2706","8","0","0","0","1"
"2707","9","0","0","0","0"
"2708","10","0","0","0","1"
"2709","11","0","0","0","1"
"2710","12","0","0","0","1"
"2711","13","0","0","1","0"
"2712","14","0","1","0","1"
"2713","15","0","1","0","0"
"2714","16","0","1","0","0"
"2715","17","0","0","0","0"
"2716","18","0","0","0","1"
"2717","19","0","1","1","0"
"2718","20","0","1","1","0"
"2719","21","0","0","0","1"
"2720","22","0","0","1","0"
"2721","23","0","1","1","0"
"2722","24","0","0","1","0"
"2723","25","0","1","0","1"
"2724","26","0","0","0","0"
"2725","27","0","0","0","0"
"2726","28","0","0","0","0"
"2727","29","0","0","1","0"
"2728","30","0","0","0","1"
"2729","31","0","0","1","0"
"2730","32","0","1","1","0"
"2732","34","0","0","1","0"
"2733","35","1","1","0","1"
"2734","36","0","0","0","1"
"2735","37","0","0","0","1"
"2736","38","0","0","0","1"
"2737","39","0","0","1","0"
"2738","40","0","0","0","0"
"2739","41","0","0","0","1"
"2740","42","1","1","1","1"
"2741","43","1","1","0","1"
"2742","44","0","0","1","1"
"2743","45","0","0","0","1"
"2744","46","0","1","0","0"
"2745","47","1","1","0","0"
"2746","1","1","1","0","1"
"2747","2","0","1","1","1"
"2748","3","1","1","1","1"
"2749","4","1","1","0","1"
"2750","5","0","0","0","1"
"2751","6","0","0","1","1"
"2752","7","0","0","0","1"
"2753","8","0","0","1","1"
"2754","9","0","0","0","1"
"2755","10","0","0","0","1"
"2756","11","0","0","1","1"
"2757","12","0","0","1","1"
"2758","13","0","0","1","1"
"2759","14","0","0","0","0"
"2760","15","0","0","0","0"
"2761","16","0","0","0","1"
"2762","17","0","0","1","1"
"2763","18","0","0","1","1"
"2765","20","0","0","1","1"
"2766","21","0","0","1","1"
"2767","22","0","1","1","1"
"2768","23","0","1","0","1"
"2769","24","0","1","0","1"
"2770","25","0","0","1","1"
"2771","26","0","0","0","0"
"2772","27","1","1","1","1"
"2773","28","1","1","1","1"
"2774","29","0","1","0","1"
"2775","30","0","0","1","0"
"2776","31","0","0","0","0"
"2777","32","0","0","1","1"
"2778","33","0","0","0","0"
"2779","34","0","1","1","1"
"2780","35","0","1","0","1"
"2781","36","0","1","0","0"
"2782","37","0","1","1","1"
"2784","39","0","0","0","1"
"2785","40","0","0","1","1"
"2786","41","1","1","0","1"
"2787","42","0","1","1","0"
"2788","43","0","0","1","1"
"2789","44","0","0","0","0"
"2790","45","0","1","1","0"
"2791","46","0","0","1","0"
"2792","47","0","0","1","0"
"2793","48","0","0","0","1"
"2794","49","0","0","0","1"
"2795","50","0","0","1","1"
"2796","51","0","0","0","0"
"2797","52","0","0","0","1"
"2798","53","0","1","1","0"
"2799","54","0","1","1","0"
"2800","55","0","0","0","0"
"2801","56","0","0","0","1"
"2802","57","0","0","1","1"
"2803","58","0","0","1","1"
"2804","59","0","0","1","0"
"2805","60","0","0","1","1"
"2806","61","0","0","0","0"
"2807","62","0","0","0","1"
"2808","63","0","0","0","1"
"2809","64","0","0","0","1"
